case,phase,method,status,n_input,n_reference,accuracy_mm,p95_mm,completeness_mm,precision,recall,fscore,displacement_rms_mm
s37_confirm15,confirmation,multiscale_full,OK,670,1170,0.3074830373381884,0.6183465420742246,0.3862872021423296,0.9925373134328358,0.9888888888888889,0.9907097422162706,0.05564327911746119
s37_confirm15,confirmation,multiscale_consensus,OK,670,1170,0.30731428588605686,0.6182067752268866,0.38592207259236744,0.9925373134328358,0.9888888888888889,0.9907097422162706,0.04807156267961751
s37_confirm15,confirmation,multiscale_matched,OK,670,1170,0.3073260422179639,0.6179185179336546,0.38591679915763055,0.9925373134328358,0.9888888888888889,0.9907097422162706,0.04807156267961699
s37_confirm16,confirmation,identity,OK,656,4603,0.15901830969374461,0.2485633468625367,0.3717450760898295,1.0,0.9960895068433631,0.9980409229429691,0.0
s37_confirm16,confirmation,v18,OK,656,4603,0.1604687375533347,0.2557585637808964,0.3749977927446031,1.0,0.9939170106452314,0.9969492264109827,0.1180869819126221
s37_confirm16,confirmation,apss2,OK,656,4603,0.15786785568720907,0.24766890241562167,0.3720077261803298,1.0,0.9965240060829893,0.9982589771490751,0.01882525488308719
s37_confirm16,confirmation,rimls2,OK,656,4603,0.15782778039064396,0.24662730948993566,0.3721184294216609,1.0,0.9969585053226157,0.9984769364664926,0.01847062161976503
s37_confirm16,confirmation,local_plane64,OK,656,4603,0.1608431394725827,0.26109441682855056,0.37660780166180785,1.0,0.9904410167282207,0.9951975551189697,0.08545119248735888
s37_confirm16,confirmation,quadratic64,OK,656,4603,0.15736199505105017,0.24785434420106842,0.37248045938761964,1.0,0.9952205083641104,0.9976045296167247,0.04629332015299236
s37_confirm16,confirmation,multiscale_full,OK,656,4603,0.1577294925307455,0.25142195060521866,0.37249524255303573,1.0,0.9950032587442972,0.997495371882827,0.045033913069644285
s37_confirm16,confirmation,multiscale_consensus,OK,656,4603,0.1576645533350869,0.24782788390563748,0.37209757103959584,1.0,0.9954377579839235,0.997713663581927,0.03436562246058749
s37_confirm16,confirmation,multiscale_matched,OK,656,4603,0.15772191018911783,0.2486646931454127,0.37229815463935073,1.0,0.9954377579839235,0.997713663581927,0.03436562246058744
s37_confirm17,confirmation,identity,OK,658,2187,0.3352412337121,0.4784082947397767,0.43365349178003987,1.0,0.9913122999542753,0.9956371986222732,0.0
s37_confirm17,confirmation,v18,OK,658,2187,0.3538433740405073,0.44878554222338846,0.45282255241219177,1.0,0.9913122999542753,0.9956371986222732,0.07674411837867352
s37_confirm17,confirmation,apss2,OK,658,2187,0.33561458269703315,0.4690989606346651,0.4352535047209903,1.0,0.9913122999542753,0.9956371986222732,0.017617404072605588
s37_confirm17,confirmation,rimls2,OK,658,2187,0.33516661605216935,0.47293696461068246,0.43487776843713455,1.0,0.9913122999542753,0.9956371986222732,0.01756096428969979
s37_confirm17,confirmation,local_plane64,OK,658,2187,0.3410391374824159,0.4494793800881045,0.4403396465339677,1.0,0.9922267946959304,0.9960982327289419,0.054967956005598693
s37_confirm17,confirmation,quadratic64,OK,658,2187,0.33540926521860487,0.46479219032053,0.435348610731026,1.0,0.9922267946959304,0.9960982327289419,0.03717056901104197
s37_confirm17,confirmation,multiscale_full,OK,658,2187,0.33574226887439235,0.45766757838472744,0.4356311597758657,1.0,0.9922267946959304,0.9960982327289419,0.03709666386140725
s37_confirm17,confirmation,multiscale_consensus,OK,658,2187,0.33565320497834994,0.4668091271937171,0.43557044764344227,1.0,0.9913122999542753,0.9956371986222732,0.029790370157978335
s37_confirm17,confirmation,multiscale_matched,OK,658,2187,0.33561020362032695,0.4629917682284119,0.43537720732737134,1.0,0.9913122999542753,0.9956371986222732,0.029790370157978426
s37_confirm18,confirmation,identity,OK,831,1082,0.4976364673086999,1.3963240055009933,0.688097168957596,0.9157641395908543,0.7735674676524954,0.8386812197117876,0.0
s37_confirm18,confirmation,v18,OK,831,1082,0.5082554498260596,1.3137092867766702,0.7863368941797693,0.9181708784596871,0.7356746765249538,0.8168538615587185,0.22700124800174507
s37_confirm18,confirmation,apss2,OK,831,1082,0.49577374963239756,1.4082102262230989,0.6940211708771943,0.914560770156438,0.7717190388170055,0.8370899713429252,0.03347938513458014
s37_confirm18,confirmation,rimls2,OK,831,1082,0.4961084516488984,1.4088779485657663,0.6933156384682674,0.914560770156438,0.7726432532347505,0.8376333851009469,0.03325746684533152
s37_confirm18,confirmation,local_plane64,OK,831,1082,0.49229784146617495,1.3876916118747904,0.7050238052409858,0.914560770156438,0.7634011090573013,0.8321723096175183,0.10382274867689101
s37_confirm18,confirmation,quadratic64,OK,831,1082,0.49323982629552754,1.3663854891945841,0.6912123297127619,0.9169675090252708,0.7735674676524954,0.8391855166111744,0.06653225938203251
s37_confirm18,confirmation,multiscale_full,OK,831,1082,0.4922681727520138,1.3712133655056227,0.6920954506408031,0.9169675090252708,0.7735674676524954,0.8391855166111744,0.06587731212445602
s37_confirm18,confirmation,multiscale_consensus,OK,831,1082,0.49297554769551505,1.3788704077069507,0.6900456614705766,0.9169675090252708,0.7763401109057301,0.8408143319908258,0.054607251438473406
s37_confirm18,confirmation,multiscale_matched,OK,831,1082,0.49279297334435995,1.3717365758638562,0.6914812457198949,0.9169675090252708,0.7754158964879853,0.8402719865307917,0.05460725143847345
s37_confirm19,confirmation,identity,OK,687,3439,0.30718608523231183,0.41121782329541534,0.43323318529108,1.0,1.0,1.0,0.0
